"id","confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr","suspectedCount","suspectedCountIncr"
"1","217","217","25","25","188","188","20200119","4","4","0","0"
"2","291","74","25","0","260","72","20200120","6","2","0","0"
"3","444","153","25","0","410","150","20200121","9","3","0","0"
"4","575","131","28","3","530","120","20200122","17","8","0","0"
"5","840","265","34","6","781","251","20200123","25","8","0","0"
"6","1308","468","38","4","1229","448","20200124","41","16","0","0"
"7","2008","700","49","11","1903","674","20200125","56","15","0","0"
"8","2789","781","51","2","2658","755","20200126","80","24","0","0"
"9","4572","1783","60","9","4406","1748","20200127","106","26","0","0"
"10","6055","1483","103","43","5820","1414","20200128","132","26","0","0"
"11","7804","1749","124","21","7510","1690","20200129","170","38","0","0"
"12","9802","1998","171","47","9418","1908","20200130","213","43","0","0"
"13","11927","2125","243","72","11425","2007","20200131","259","46","0","0"
"14","14543","2616","328","85","13911","2486","20200201","304","45","0","0"
"15","17384","2841","475","147","16547","2636","20200202","362","58","0","0"
"16","20624","3240","632","157","19566","3019","20200203","426","64","0","0"
"17","24522","3898","892","260","23138","3572","20200204","492","66","0","0"
"18","28251","3729","1153","261","26533","3395","20200205","565","73","0","0"
"19","31427","3176","1542","389","29247","2714","20200206","638","73","0","0"
"20","34868","3441","2052","510","32092","2845","20200207","724","86","0","0"
"21","37539","2671","2651","599","34075","1983","20200208","813","89","0","0"
"22","40481","2942","3283","632","36288","2213","20200209","910","97","0","0"
"23","42960","2479","3998","715","37944","1656","20200210","1018","108","0","0"
"24","45051","2091","4742","744","39194","1250","20200211","1115","97","0","0"
"25","61362","16311","5915","1173","54078","14884","20200212","1369","254","0","0"
"26","64379","3017","6728","813","56269","2191","20200213","1382","13","0","0"
"27","67081","2702","8101","1373","57454","1185","20200214","1526","144","0","0"
"28","69110","2029","9425","1324","58017","563","20200215","1668","142","0","0"
"29","71318","2208","10853","1428","58690","673","20200216","1775","107","0","0"
"30","73322","2004","12561","1708","58888","198","20200217","1873","98","0","0"
"31","75083","1761","14387","1826","58687","-201","20200218","2009","136","0","0"
"32","76025","942","16170","1783","57731","-956","20200219","2124","115","0","0"
"33","77066","1041","18279","2109","56540","-1191","20200220","2247","123","0","0"
"34","77592","526","20673","2394","54563","-1977","20200221","2356","109","0","0"
"35","78443","851","22907","2234","53080","-1483","20200222","2456","100","0","0"
"36","79031","588","24757","1850","51662","-1418","20200223","2612","156","0","0"
"37","79848","817","27353","2596","49806","-1856","20200224","2689","77","0","0"
"38","80649","801","29775","2422","48122","-1684","20200225","2752","63","0","0"
"39","81548","899","32531","2756","46226","-1896","20200226","2791","39","0","0"
"40","82623","1075","36157","3626","43618","-2608","20200227","2848","57","0","0"
"41","84080","1457","39049","2892","42126","-1492","20200228","2905","57","0","0"
"42","85977","1897","41675","2626","41343","-783","20200229","2959","54","0","0"
"43","87343","1366","44518","2843","39806","-1537","20200301","3019","60","0","0"
"44","89076","1733","47260","2742","38742","-1064","20200302","3074","55","0","0"
"45","90988","1912","49914","2654","37924","-818","20200303","3150","76","0","0"
"46","93234","2246","52109","2195","37896","-28","20200304","3229","79","20","20"
"47","95468","2234","53793","1684","38364","468","20200305","3311","82","36","16"
"48","98293","2825","55477","1684","39408","1044","20200306","3408","97","60","24"
"49","101972","3679","57143","1666","41316","1908","20200307","3513","105","63","3"
"50","105630","3658","58684","1541","43339","2023","20200308","3607","94","67","4"
"51","109596","3966","59982","1298","45788","2449","20200309","3826","219","69","2"
"52","113731","4135","61567","1585","48130","2342","20200310","4034","208","79","10"
"53","118342","4611","62887","1320","51152","3022","20200311","4303","269","85","6"
"54","125280","6938","64216","1329","56444","5292","20200312","4620","317","88","3"
"55","132784","7504","65649","1433","62166","5722","20200313","4969","349","95","7"
"56","142910","10126","67022","1373","70479","8313","20200314","5409","440","111","16"
"57","154505","11595","76882","9860","71859","1380","20200315","5764","355","123","12"
"58","169111","14606","78980","2098","83491","11632","20200316","6640","876","143","20"
"59","181448","12340","81670","2690","92174","8686","20200317","7604","964","155","12"
"60","195395","13944","83871","2201","103498","11321","20200318","8026","422","189","34"
"61","242636","47241","87943","4072","144780","41282","20200319","9913","1887","228","39"
"62","271329","28693","91312","3369","168764","23984","20200320","11253","1340","269","41"
"63","303605","32276","95065","3753","195632","26868","20200321","12908","1655","314","45"
"64","334694","31089","97446","2381","222722","27090","20200322","14526","1618","353","39"
"65","373327","38633","100522","3076","256535","33813","20200323","16270","1744","427","74"
"66","417813","44486","108035","7513","291061","34526","20200324","18717","2447","474","47"
"67","462554","44741","113330","5295","328367","37306","20200325","20857","2140","541","67"
"68","526309","63755","121769","8439","380953","52586","20200326","23587","2730","595","54"
"69","580681","54372","124987","3218","428976","48023","20200327","26718","3131","649","54"
"70","650301","69620","139582","14595","480557","51581","20200328","30162","3444","693","44"
"71","713021","62720","146629","7047","532835","52278","20200329","33557","3395","723","30"
"72","764942","51921","156487","9858","571662","38827","20200330","36793","3236","771","48"
"73","842977","78035","167143","10656","634374","62712","20200331","41460","4667","806","35"
"74","918616","75639","182750","15607","689736","55362","20200401","46130","4670","841","35"
"75","996287","77671","193761","11011","751249","61513","20200402","51277","5147","870","29"
"76","1083609","87322","207082","13321","819297","68048","20200403","57230","5953","888","18"
"77","1162629","79020","225513","18431","873142","53845","20200404","63974","6744","913","25"
"78","1238096","75467","238439","12926","931067","57925","20200405","68590","4616","951","38"
"79","1305370","67274","244940","6501","987638","56571","20200406","72792","4202","983","32"
"80","1384146","78776","265423","20483","1037525","49887","20200407","81198","8406","1042","59"
"81","1464409","80263","318274","52851","1059433","21908","20200408","86702","5504","1103","61"
"82","1554979","90570","339915","21641","1120241","60808","20200409","94823","8121","1141","38"
"83","1641965","86986","361006","21091","1180091","59850","20200410","100868","6045","1183","42"
"84","1724236","82271","387430","26424","1228831","48740","20200411","107975","7107","1280","97"
"85","1795163","70927","402354","14924","1279864","51033","20200412","112945","4970","1378","98"
"86","1873872","78709","428191","25837","1326572","46708","20200413","119109","6164","1464","86"
"87","1939062","65190","453476","25285","1360042","33470","20200414","125544","6435","1500","36"
"88","2018977","79915","490709","37233","1394871","34829","20200415","133397","7853","1534","34"
"89","2101286","82309","516243","25534","1440803","45932","20200416","144240","10843","1549","15"
"90","2187715","86429","547353","31110","1487545","46742","20200417","152817","8577","1566","17"
"91","2273761","86046","575844","28491","1538579","51034","20200418","159338","6521","1575","9"
